Rank,Player,Team,Bye,POS,ESPN,Yahoo,CBS,Sleeper,NFL,RTSports,Fantrax,AVG
304,Brandon Aiyuk,SF,8,WR103,,,,282,,289,,285.5
305,Jalen Tolbert,MIA,6,WR104,,,,,,278,,278.0
306,Jaylin Noel,HOU,8,WR105,,,,,,279,,279.0
307,La'Michael Pettway,,,TE42,,,,280,,,,280.0
308,Valentino Ambrosio,,,K23,,,,281,,,,281.0
309,Malik Davis,DAL,14,RB83,,,,,,283,,283.0
310,Martavis Bryant,,,WR106,,,,284,,,,284.0
311,Seth McGowan,IND,13,RB84,,,,,,284,,284.0
312,Elijah Holyfield,,,RB85,,,,285,,,,285.0
313,LeQuint Allen Jr.,JAC,7,RB86,,,,,,285,,285.0
314,Jaren Hall,,,QB36,,,,287,,,,287.0
315,Keaontay Ingram,,,RB87,,,,288,,,,288.0
316,Emari Demercado,KC,5,RB88,,,,,,288,,288.0
317,J'mar Smith,,,QB37,,,,289,,,,289.0
318,Alexander Mattison,,,RB89,,,,,,290,,290.0
319,George Campbell,,,WR107,,,,290,,,,290.0
320,Tyreik McAllister,,,RB90,,,,291,,,,291.0
321,Antonio Gibson,,,RB91,,,,292,,,,292.0
322,Jahan Dotson,ATL,11,WR108,,,,,,292,,292.0
323,Adam Randall,BAL,13,RB92,,,,,,293,,293.0
324,Malik Knowles,,,WR109,,,,293,,,,293.0
325,Blake Whiteheart,CLE,11,TE43,,,,294,,,,294.0
326,Ryan Izzo,,,TE44,,,,295,,,,295.0
327,Isaac Rex,,,TE45,,,,296,,,,296.0
328,Drew Sample,CIN,6,TE46,,,,299,,,,299.0
329,Jacob Cowing,SF,8,WR110,,,,301,,,,301.0
330,Lee Smith,,,TE47,,,,302,,,,302.0
331,Jelani Woods,NYJ,13,TE48,,,,304,,,,304.0
332,Jake Briningstool,KC,5,TE49,,,,305,,,,305.0
333,Ian Thomas,LV,13,TE50,,,,306,,,,306.0
334,Chase Daniel,,,QB38,,,,307,,,,307.0
335,Equanimeous St. Brown,,,WR111,,,,308,,,,308.0
336,Kearis Jackson,,,WR112,,,,309,,,,309.0
337,Barika Kpeenu,TB,10,RB93,,,,310,,,,310.0
338,N'Keal Harry,,,WR113,,,,311,,,,311.0
339,Tanner Hudson,CIN,6,TE51,,,,313,,,,313.0
340,John Rhys Plumlee,,,QB39,,,,314,,,,314.0
