"Rank","Player","Team","Bye","POS","CBS","Sleeper","RTSports","AVG"
"213","Miami Dolphins","DST","6","DST7","","226","206","216.0"
"214","Mike Gesicki","CIN","12","TE27","","209","225","217.0"
"215","Jake Moody","SF","9","K6","","231","209","220.0"
"216","Kansas City Chiefs","DST","6","DST8","","222","221","221.5"
"217","Buffalo Bills","DST","12","DST9","","259","188","223.5"
"218","Tank Bigsby","JAC","12","RB65","","212","235","223.5"
"219","Keaton Mitchell","BAL","14","RB66","","210","239","224.5"
"220","Will Shipley","PHI","5","RB67","","235","214","224.5"
"221","Juwan Johnson","NO","12","TE28","","219","236","227.5"
"222","Younghoe Koo","ATL","12","K7","","228","227","227.5"
"223","Gardner Minshew II","LV","10","QB33","","256","202","229.0"
"224","Jason Sanders","MIA","6","K8","","233","226","229.5"
"225","Greg Dulcich","DEN","14","TE29","","245","217","231.0"
"226","Ja'Tavion Sanders","CAR","11","TE30","","198","269","233.5"
"227","Philadelphia Eagles","DST","5","DST10","","217","255","236.0"
"228","Tyler Bass","BUF","12","K9","","229","243","236.0"
"229","AJ Dillon","GB","10","RB68","","243","231","237.0"
"230","Malachi Corley","NYJ","12","WR80","","183","294","238.5"
"231","Houston Texans","DST","14","DST11","","262","215","238.5"
"232","Zach Ertz","WAS","14","TE31","","249","233","241.0"
"233","D'Onta Foreman","CLE","10","RB69","","242","240","241.0"
"234","Tampa Bay Buccaneers","DST","11","DST12","","218","268","243.0"
"235","Las Vegas Raiders","DST","10","DST13","","268","222","245.0"
"236","Javon Baker","NE","14","WR81","","202","289","245.5"
"237","Tyler Boyd","TEN","5","WR82","","254","238","246.0"
"238","Evan McPherson","CIN","12","K10","","227","267","247.0"
"239","Dylan Laube","LV","10","RB70","","236","261","248.5"
"240","Luke McCaffrey","WAS","14","WR83","","196","303","249.5"
"241","Sam Darnold","MIN","6","QB34","","285","223","254.0"
"242","Samaje Perine","DEN","14","RB71","","","185","185.0"
"243","Jalen McMillan","TB","11","WR84","","206","305","255.5"
"244","Kenneth Gainwell","PHI","5","RB72","","298","213","255.5"
"245","Jalin Hyatt","NYG","11","WR85","","260","251","255.5"
"246","Miles Sanders","CAR","11","RB73","","308","204","256.0"
"247","New Orleans Saints","DST","12","DST14","","275","237","256.0"
"248","Theo Johnson","NYG","11","TE32","","241","272","256.5"
"249","Colby Parkinson","LAR","6","TE33","","240","275","257.5"
"250","Justice Hill","BAL","14","RB74","","284","232","258.0"
"251","Cameron Dicker","LAC","5","K11","","267","249","258.0"
"252","New England Patriots","DST","14","DST15","","276","242","259.0"
"253","Seattle Seahawks","DST","10","DST16","","224","299","261.5"
"254","Odell Beckham Jr.","MIA","6","WR86","","216","308","262.0"
"255","Kareem Hunt","","","RB75","","","208","208.0"
"256","Jacoby Brissett","NE","14","QB35","","323","212","267.5"
"257","Jason Myers","SEA","10","K12","","311","224","267.5"
"258","Aidan O'Connell","LV","10","QB36","","305","230","267.5"
"259","New York Giants","DST","11","DST17","","277","259","268.0"
"260","Daniel Carlson","LV","10","K13","","273","263","268.0"
"261","Greg Dortch","ARI","11","WR87","","239","298","268.5"
"262","Michael Penix Jr.","ATL","12","QB37","","281","257","269.0"
"263","Isaac Guerendo","SF","9","RB76","","238","302","270.0"
"264","Tucker Kraft","GB","10","TE34","","244","296","270.0"
"265","Jalen Tolbert","DAL","7","WR88","","237","304","270.5"
"266","Jelani Woods","IND","14","TE35","","234","311","272.5"
"267","Michael Mayer","LV","10","TE36","","257","288","272.5"
"268","Matt Gay","IND","14","K14","","","220","220.0"
"269","Hayden Hurst","LAC","5","TE37","","290","256","273.0"
"270","Washington Commanders","DST","14","DST18","","221","","221.0"
"271","Dawson Knox","BUF","12","TE38","","263","286","274.5"
"272","Detroit Lions","DST","5","DST19","","269","281","275.0"
"273","Daniel Bellinger","NYG","11","TE39","","304","247","275.5"
"274","Jamaal Williams","NO","12","RB77","","302","252","277.0"
"275","Kendrick Bourne","NE","14","WR89","","264","295","279.5"
"276","DJ Chark Jr.","LAC","5","WR90","","248","312","280.0"
"277","Trey Sermon","IND","14","RB78","","278","282","280.0"
"278","Zay Jones","ARI","11","WR91","","247","315","281.0"
"279","Darius Slayton","NYG","11","WR92","","252","310","281.0"
"280","Tre Tucker","LV","10","WR93","","293","273","283.0"
"281","Minnesota Vikings","DST","6","DST20","","283","283","283.0"
"282","Joe Flacco","IND","14","QB38","","","241","241.0"
"283","Jacksonville Jaguars","DST","12","DST21","","315","253","284.0"
"284","Jordan Mason","SF","9","RB79","","","244","244.0"
"285","Indianapolis Colts","DST","14","DST22","","320","250","285.0"
"286","Leonard Fournette","","","RB80","","","245","245.0"
"287","Elijah Moore","CLE","10","WR94","","250","321","285.5"
"288","Devontez Walker","BAL","14","WR95","","246","","246.0"
"289","Chicago Bears","DST","7","DST23","","309","264","286.5"
"290","Eric Gray","NYG","11","RB81","","","248","248.0"
"291","Brenden Rice","LAC","5","WR96","","251","","251.0"
"292","Charles McClelland","","","RB82","","253","","253.0"
"293","Will Reichard","MIN","6","K15","","","254","254.0"
"294","Elijah Holyfield","","","RB83","","255","","255.0"
"295","Greg Zuerlein","NYJ","12","K16","","","258","258.0"
"296","Isaiah Bowser","","","RB84","","258","","258.0"
"297","Sam Howell","SEA","10","QB39","","","260","260.0"
"298","Xavier Ubosi","","","WR97","","261","","261.0"
"299","K.J. Osborn","NE","14","WR98","","299","290","294.5"
"300","Deneric Prince","KC","6","RB85","","","265","265.0"
"301","Scotty Miller","PIT","9","WR99","","266","","266.0"
"302","Joshua Karty","LAR","6","K17","","","266","266.0"
"303","Treylon Burks","TEN","5","WR100","","303","292","297.5"
"304","Cairo Santos","CHI","7","K18","","","270","270.0"
"305","Derek Watt","","","RB86","","270","","270.0"
"306","Charleston Rambo","","","WR101","","271","","271.0"
"307","Johnny Wilson","PHI","5","WR102","","","271","271.0"
"308","Tennessee Titans","DST","5","DST24","","272","","272.0"
"309","Dustin Hopkins","CLE","10","K19","","","274","274.0"
"310","Josh Reynolds","DEN","14","WR103","","286","314","300.0"
"311","Malik Washington","MIA","6","WR104","","288","313","300.5"
"312","Denver Broncos","DST","14","DST25","","","276","276.0"
"313","Calvin Austin III","PIT","9","WR105","","","277","277.0"
"314","Jonathan Mingo","CAR","11","WR106","","296","307","301.5"
"315","Cincinnati Bengals","DST","12","DST26","","","278","278.0"
"316","Los Angeles Chargers","DST","5","DST27","","325","279","302.0"
"317","Chase Claypool","BUF","12","WR107","","279","","279.0"
"318","Royce Freeman","DAL","7","RB87","","","280","280.0"
"319","Noah Gindorff","","","TE40","","280","","280.0"
"320","Leroy Watson IV","TEN","5","TE41","","282","","282.0"
"321","Jake Browning","CIN","12","QB40","","","284","284.0"
"322","Andrei Iosivas","CIN","12","WR108","","","285","285.0"
"323","Andy Janovich","","","RB88","","287","","287.0"
"324","Dalvin Cook","","","RB89","","","287","287.0"
"325","Ray-Ray McCloud III","ATL","12","WR109","","","291","291.0"
"326","Deuce Vaughn","DAL","7","RB90","","291","","291.0"
"327","Elliott","Fry","","K20","","292","","292.0"
"328","Rasheen Ali","BAL","14","RB91","","294","324","309.0"
"329","Michael Thomas","","","WR110","","","293","293.0"
"330","O.J. Howard","","","TE42","","295","","295.0"
"331","Jerick McKinnon","","","RB92","","","297","297.0"
"332","Evan Hull","IND","14","RB93","","297","","297.0"
"333","Kylen Granson","IND","14","TE43","","","300","300.0"
"334","Christopher Dunn","","","K21","","300","","300.0"
"335","Mike Glennon","","","QB41","","301","","301.0"
"336","Jauan Jennings","SF","9","WR111","","","301","301.0"
"337","A.T. Perry","NO","12","WR112","","307","322","314.5"
"338","Jameis Winston","CLE","10","QB42","","","306","306.0"
"339","Danny Vitale","","","RB94","","306","","306.0"
"340","Alec Pierce","IND","14","WR113","","","309","309.0"
"341","Ryan Fitzpatrick","","","QB43","","310","","310.0"
"342","Green Bay Packers","DST","10","DST28","","318","318","318.0"
"343","Los Angeles Rams","DST","6","DST29","","312","","312.0"
"344","Bobby Holly","","","RB95","","313","","313.0"
"345","Jason Witten","","","TE44","","314","","314.0"
"346","Jeff Wilson Jr.","MIA","6","RB96","","","316","316.0"
"347","Louis Rees-Zammit","KC","6","RB97","","316","","316.0"
"348","Jazz Ferguson","","","WR114","","317","","317.0"
"349","Van Jefferson","PIT","9","WR115","","","317","317.0"
"350","Ryan Succop","","","K22","","319","","319.0"
"351","Chase McLaughlin","TB","11","K23","","","319","319.0"
"352","Allen Lazard","NYJ","12","WR116","","","320","320.0"
"353","Jonathan Brown","","","K24","","321","","321.0"
"354","Xavier Gipson","NYJ","12","WR117","","322","","322.0"
"355","Cam Akers","HOU","14","RB98","","","323","323.0"
"356","Emari Demercado","ARI","11","RB99","","","325","325.0"
"357","Taylor Bertolet","","","K25","","326","","326.0"
"358","Frank Gore Jr.","BUF","12","RB100","","327","","327.0"
"359","Kyle Sloter","","","QB44","","328","","328.0"
"360","Gerald Everett","CHI","7","TE45","","329","","329.0"
""
""
